transaction_id,item_id,item_name,transaction_date,quantity,price,customer_id
1,8,Strategy,2023-04-03,11,257.17,20
2,9,Seat,2023-11-19,41,97.78,2
3,5,Seat,2023-04-03,28,439.75,4
4,5,Dinner,2023-12-16,49,254.69,27
5,2,Skin,2023-04-26,21,184.39,25
6,8,Agree,2023-06-19,17,160.09,2
7,2,Skin,2023-07-27,43,106.05,21
8,7,Clear,2023-10-09,13,20.46,2
9,8,Strategy,2023-02-11,10,359.03,2
10,7,Dinner,2023-01-08,44,266.66,6
11,7,Available,2023-04-12,48,386.89,22
12,2,Agree,2023-01-20,28,302.69,3
13,10,Seat,2023-11-23,30,364.13,29
14,5,Dinner,2023-12-23,10,198.97,13
15,7,Dinner,2023-12-29,9,487.31,23
16,8,Skin,2023-11-14,18,153.26,10
17,2,Strategy,2023-12-29,27,309.47,20
18,1,Available,2023-08-29,29,6.59,17
19,2,Dinner,2023-04-25,27,72.62,1
20,5,Skin,2023-06-04,33,159.75,16
21,10,Clear,2023-05-31,35,471.0,25
22,3,Available,2023-05-04,47,132.18,6
23,4,Skin,2023-12-07,31,220.27,1
24,3,Clear,2023-04-28,20,181.55,23
25,10,Skin,2023-06-06,23,379.16,25
26,10,Clear,2023-08-31,47,29.35,19
27,9,Skin,2023-06-21,28,181.25,11
28,8,Clear,2023-07-17,18,273.84,4
29,3,Story,2023-01-08,13,477.8,20
30,5,Choose,2023-10-26,10,88.79,6
31,8,Dinner,2023-08-04,44,213.84,28
32,9,Agree,2023-09-22,41,463.01,15
33,8,Choose,2023-06-06,21,24.99,12
34,3,Clear,2023-04-30,16,495.63,20
35,3,Available,2023-08-30,45,398.35,24
36,9,Choose,2023-10-06,43,399.28,1
37,7,Available,2023-05-21,50,476.81,20
38,2,Agree,2023-01-06,26,70.79,18
39,8,Agree,2023-01-29,37,321.84,25
40,3,Strategy,2023-10-26,31,56.2,17
41,2,Maybe,2023-01-30,16,336.47,6
42,9,Skin,2023-05-29,21,232.0,27
43,7,Story,2023-07-25,44,15.08,20
44,2,Available,2023-06-02,20,365.57,3
45,4,Strategy,2023-08-02,38,60.81,8
46,5,Skin,2023-08-12,44,439.76,2
47,9,Choose,2023-08-31,4,333.39,17
48,9,Skin,2023-12-10,44,394.11,13
49,6,Strategy,2023-07-01,23,454.65,10
50,1,Story,2023-09-17,44,393.36,16
51,3,Dinner,2023-07-15,23,309.48,14
52,2,Dinner,2023-08-06,46,281.45,3
53,7,Strategy,2023-03-06,41,375.7,20
54,4,Available,2023-02-17,14,485.77,22
55,8,Clear,2023-02-26,41,26.33,17
56,6,Strategy,2023-05-07,29,198.91,25
57,3,Clear,2023-10-20,33,75.54,11
58,4,Clear,2023-09-08,10,48.54,26
59,8,Choose,2023-12-02,22,311.88,7
60,10,Agree,2023-01-26,29,475.46,4
61,9,Dinner,2023-06-16,2,69.85,20
62,2,Choose,2023-09-16,21,196.99,6
63,8,Story,2023-09-22,18,439.23,12
64,7,Skin,2023-03-16,41,142.29,6
65,10,Available,2023-11-10,34,466.26,9
